Unnamed: 0,user,artist_ids
470,teori,1615437
471,teori,1614
472,teori,9806
473,teori,1616
474,teori,4458065
475,teori,747098
476,teori,607837
477,teori,1631
478,teori,26212
479,teori,124518
480,teori,4818534
481,teori,1647
482,teori,1656
483,teori,1657
484,teori,2672249
485,teori,1660
486,teori,26238
487,teori,1663
488,teori,1664
489,teori,1665
490,teori,403075
491,teori,214669
492,teori,18063
493,teori,67226
494,teori,378523
495,teori,1691
496,teori,403102
497,teori,1435307
498,teori,2270891
499,teori,1709
500,teori,9902
501,teori,1711
502,teori,730801
503,teori,18102
504,teori,247479
505,teori,9926
506,teori,1737
507,teori,337615
508,teori,730837
509,teori,419541
510,teori,91864
511,teori,1230554
512,teori,59101
513,teori,198379
514,teori,5039859
515,teori,689918
516,teori,3606272
517,teori,1025795
518,teori,18191
519,teori,3876630
520,teori,190234
521,teori,91938
522,teori,288549
523,teori,42805
524,teori,18231
525,teori,411447
526,teori,10044
527,teori,198462
528,teori,526150
529,teori,3090250
530,teori,51019
531,teori,10061
532,teori,1871
533,teori,51030
534,teori,1173338
535,teori,1009500
536,teori,34655
537,teori,2459498
538,teori,149358
539,teori,100211
540,teori,18291
541,teori,18293
542,teori,26486
543,teori,280437
544,teori,280442
545,teori,247674
546,teori,1919
547,teori,67456
548,teori,1944
549,teori,190374
550,teori,26535
551,teori,1140661
552,teori,1978
553,teori,255931
554,teori,1980
555,teori,42941
556,teori,42952
557,teori,1996
558,teori,67532
559,teori,10190
560,teori,42958
561,teori,2005
562,teori,10214
563,teori,10220
564,teori,731121
565,teori,42998
566,teori,4147192
567,teori,51196
568,teori,2426877
569,teori,92162
570,teori,419854
571,teori,2063
572,teori,26641
573,teori,477205
574,teori,51224
575,teori,75801
576,teori,10281
577,teori,26668
578,teori,731181
579,teori,1935407
580,teori,4679731
581,teori,469046
582,teori,288826
583,teori,2121
584,teori,1550411
585,teori,387148
586,teori,2125
587,teori,6178895
588,teori,542807
589,teori,75863
590,teori,501849
591,teori,452699
592,teori,3926112
593,teori,26726
594,teori,10343
595,teori,84072
596,teori,43117
597,teori,1853553
598,teori,510070
599,teori,18550
600,teori,18568
601,teori,2185
602,teori,10383
603,teori,2192
604,teori,5327006
605,teori,3123359
606,teori,67746
607,teori,133283
608,teori,5777573
609,teori,100520
610,teori,100521
611,teori,100522
612,teori,1190060
613,teori,100524
614,teori,108718
615,teori,2220
616,teori,10424
617,teori,51385
618,teori,2238
619,teori,829631
620,teori,18625
621,teori,2241
622,teori,43208
623,teori,18639
624,teori,5720271
625,teori,149713
626,teori,936146
627,teori,878803
628,teori,51417
629,teori,10457
630,teori,288986
631,teori,1853670
632,teori,1960170
633,teori,2289
634,teori,2290
635,teori,18681
636,teori,1018108
637,teori,35082
638,teori,2640145
639,teori,493854
640,teori,7153957
641,teori,26918
642,teori,239910
643,teori,100654
644,teori,1796404
645,teori,2361
646,teori,166213
647,teori,10571
648,teori,4041058
649,teori,190821
650,teori,84329
651,teori,174445
652,teori,84336
653,teori,1976690
654,teori,26999
655,teori,10624
656,teori,59776
657,teori,27012
658,teori,1026437
659,teori,3582347
660,teori,1853836
661,teori,2447
662,teori,2448
663,teori,43418
664,teori,10656
665,teori,551328
666,teori,92578
667,teori,4991396
668,teori,289194
669,teori,43447
670,teori,10695
671,teori,10696
672,teori,27085
673,teori,3721679
674,teori,1010128
675,teori,2523
676,teori,27100
677,teori,149982
678,teori,1534461
679,teori,10751
680,teori,59903
681,teori,2563
682,teori,35335
683,teori,2533902
684,teori,526867
685,teori,2583
686,teori,1600030
687,teori,2592
688,teori,1460769
689,teori,494117
690,teori,2648616
691,teori,4082216
692,teori,27181
693,teori,2606
694,teori,51757
695,teori,10804
696,teori,51765
697,teori,19005
698,teori,35392
699,teori,3967558
700,teori,2631
701,teori,10827
702,teori,68174
703,teori,2644
704,teori,10842
705,teori,2663
706,teori,166506
707,teori,35435
708,teori,543340
709,teori,51824
710,teori,10865
711,teori,76400
712,teori,379514
713,teori,2692
714,teori,2696
715,teori,27274
716,teori,2699
717,teori,27280
718,teori,2705
719,teori,27281
720,teori,2709
721,teori,10902
722,teori,2711
723,teori,2718
724,teori,2725
725,teori,27305
726,teori,412342
727,teori,10935
728,teori,125642
729,teori,51930
730,teori,51967
731,teori,92927
732,teori,92936
733,teori,2825
734,teori,191243
735,teori,207635
736,teori,2722581
737,teori,535319
738,teori,461591
739,teori,35609
740,teori,35611
741,teori,2845
742,teori,52000
743,teori,355105
744,teori,248626
745,teori,68412
746,teori,2880
747,teori,158537
748,teori,19276
749,teori,1887052
750,teori,68431
751,teori,2914
752,teori,830309
753,teori,150373
754,teori,510823
755,teori,527215
756,teori,363381
757,teori,2934
758,teori,2937
759,teori,1969037
760,teori,297870
761,teori,52112
762,teori,224147
763,teori,338861
764,teori,2989
765,teori,2995
766,teori,2996
767,teori,11192
768,teori,3003
769,teori,3004
770,teori,1321921
771,teori,11202
772,teori,2411467
773,teori,60367
774,teori,3027
775,teori,158676
776,teori,52182
777,teori,3040
778,teori,3042
779,teori,306157
780,teori,3055
781,teori,3058
782,teori,3060
783,teori,3061
784,teori,953335
785,teori,707578
786,teori,3067
787,teori,52220
788,teori,3075
789,teori,199690
790,teori,2911242
791,teori,7261201
792,teori,11290
793,teori,199721
794,teori,1125432
795,teori,2886723
796,teori,1576004
797,teori,3145
798,teori,1051737
799,teori,3161
800,teori,11356
801,teori,3172
802,teori,388198
803,teori,281703
804,teori,3178
805,teori,76912
806,teori,35954
807,teori,52346
808,teori,44171
809,teori,134285
810,teori,19603
811,teori,224404
812,teori,3225
813,teori,920737
814,teori,2690213
815,teori,208043
816,teori,3254
817,teori,3255
818,teori,60600
819,teori,208064
820,teori,77004
821,teori,85204
822,teori,724181
823,teori,1076447
824,teori,77025
825,teori,175339
826,teori,1453298
827,teori,4410612
828,teori,4320508
829,teori,3330
830,teori,1371414
831,teori,11543
832,teori,3352
833,teori,789783
834,teori,3358
835,teori,191782
836,teori,519470
837,teori,765232
838,teori,19761
839,teori,150836
840,teori,2977076
841,teori,11572
842,teori,3321142
843,teori,27963
844,teori,11581
845,teori,19774
846,teori,339264
847,teori,3392
848,teori,19778
849,teori,11589
850,teori,19783
851,teori,19784
852,teori,3402
853,teori,855378
854,teori,19800
855,teori,85342
856,teori,3425
857,teori,3426
858,teori,150891
859,teori,454004
860,teori,4902261
861,teori,2387319
862,teori,3449
863,teori,716163
864,teori,2952581
865,teori,3461
866,teori,3465
867,teori,888214
868,teori,3479
869,teori,167322
870,teori,1813920
871,teori,19881
872,teori,60851
873,teori,5205432
874,teori,830907
875,teori,1764824
876,teori,69085
877,teori,1404382
878,teori,937440
879,teori,3552
880,teori,4017635
881,teori,3555
882,teori,28148
883,teori,1617413
884,teori,19973
885,teori,3593
886,teori,3594
887,teori,52748
888,teori,986636
889,teori,4345369
890,teori,44578
891,teori,3628
892,teori,3452465
893,teori,28218
894,teori,167484
895,teori,708159
896,teori,192069
897,teori,3656
898,teori,20040
899,teori,3657
900,teori,2002507
901,teori,2608717
902,teori,3666
903,teori,3670
904,teori,3675
905,teori,167518
906,teori,2510441
907,teori,3239539
908,teori,110201
909,teori,822908
910,teori,527999
911,teori,36484
912,teori,52869
913,teori,3719
914,teori,11913
915,teori,102033
916,teori,20115
917,teori,200347
918,teori,20131
919,teori,2838181
920,teori,28327
921,teori,20155
922,teori,3775
923,teori,3776
924,teori,11978
925,teori,3791
926,teori,1109715
927,teori,282325
928,teori,315094
929,teori,265950
930,teori,2748133
931,teori,77546
932,teori,421623
933,teori,470790
934,teori,20233
935,teori,5984011
936,teori,77593
937,teori,12058
938,teori,12063
939,teori,667426
940,teori,3885
941,teori,159534
942,teori,143151
943,teori,12079
944,teori,28465
945,teori,36663
946,teori,3898
947,teori,28477
948,teori,77631
949,teori,3906
950,teori,241477
951,teori,3910
952,teori,3909
953,teori,749391
954,teori,1855313
955,teori,126804
956,teori,192341
957,teori,200538
958,teori,1634149
959,teori,3947
960,teori,208750
961,teori,3953
962,teori,69503
963,teori,200576
964,teori,421761
965,teori,61315
966,teori,85897
967,teori,3979
968,teori,1716109
